Community_District,boro_cd,mean_2013,mean_2014,mean_2015,mean_2016,mean_2017,mean_2018,mean_2019,mean_2020,mean_2021
Rego Park and Forest Hills,406,21.1,20.9,20,19.3,19.3,18.3,16.4,15.7,15.8
Flushing and Whitestone,407,18.7,19.4,19,18.2,18.4,17.6,16.3,15.6,15.7
Hillcrest and Fresh Meadows,408,18.7,18.8,18.3,17.6,17.7,17.1,15.1,14.1,14.7
Kew Gardens and Woodhaven,409,20.6,20.1,19.5,18.7,18.8,18.2,16.1,15.5,15.8
South Ozone Park and Howard Beach,410,19,18.6,18.2,17.2,17.4,16.6,14.5,14.3,14.6
Bayside and Little Neck,411,16.8,17.8,17.6,16.8,16.9,16.1,14.5,13.4,14.2
Jamaica and Hollis,412,19.1,18.9,18.5,17.6,17.8,17.7,15.7,14.3,15.1
Queens Village,413,16.9,17.3,17.2,16.2,16.5,16.3,14.6,13.1,14.6
Rockaway and Broad Channel,414,12.5,13.7,13.4,11.6,12.6,10.4,9.9,10.5,11.3
St. George and Stapleton,501,17.6,17.1,16.9,16.9,16.4,16.1,15,13.7,15.3
South Beach and Willowbrook,502,13.8,14,13.6,13.4,13.2,12.8,11.7,11.5,13
Tottenville and Great Kills,503,11.4,12.5,11.8,11.4,11.6,11,10.2,10.5,11.1
